BC04	C_bul_7635
BC02	C_dia_7994
BC20	C_dic_8716
BC07	C_fra_7106
BC08	C_fra_7303
BC10	C_fra_7616
BC22	C_fra_7620
BC24	C_fra_7622
BC14	C_fra_8049
BC16	C_fra_8519
BC25	C_fra_8657
BC19	C_fra_8673
BC03	C_mil_6761
BC02	C_mon_5839
BC06	C_mon_7002
BC11	C_mon_7941
BC07	C_mon_8672
BC14	C_mou_8656
BC16	C_mou_8665
BC19	C_mou_8732
BC22	C_mou_8734
BC24	C_mou_8735
BC12	C_pel_8451
BC20	C_pel_8733
BC09	C_pro_7518
BC06	C_ree_7038
BC17	C_tenn_4513
BC17	C_tenn_4513
BC11	C_tenu_7648
BC12	C_tenu_7798
